f237bd3721a873ae67fbb54e31a0d21fe0f98bbb2173aaf091b9aca8323d1af4,2017-02,West Midlands Police,West Midlands Police,-1.806933,52.450767,On or near Bosworth Road,E01008891,Birmingham 089B,Possession of weapons,Court result unavailable,
e83caf5eabbdd2f06eafb199aa9e47c9e5131a08d220c8e1fb19197eb37c0597,2017-02,West Midlands Police,West Midlands Police,-1.816151,52.445739,On or near Woodberry Walk,E01008894,Birmingham 089E,Possession of weapons,Unable to prosecute suspect,
c1639985bdcf25bf0487c447e82b78a0a24608903e91430a05458d3d9302855b,2017-02,West Midlands Police,West Midlands Police,-1.928412,52.443235,On or near Rookery Road,E01009286,Birmingham 096C,Possession of weapons,Court result unavailable,
a0b95e4ea1900dd8afe6a2d0039a922bb314a96603268c1ebc799da6befafa46,2017-02,West Midlands Police,West Midlands Police,-1.863117,52.439743,On or near Sports/Recreation Area,E01009395,Birmingham 097F,Possession of weapons,Status update unavailable,
77d04b6536ec7ecd1c579dc0dcdf6cc2502639245d9274348959a487075bf782,2017-02,West Midlands Police,West Midlands Police,-1.890645,52.432112,On or near Drayton Road,E01009175,Birmingham 104A,Possession of weapons,Court result unavailable,
2abda4b2bdbc5f21669796bdaf9a17e65c45c3f77373d4483139bdf720d07576,2017-02,West Midlands Police,West Midlands Police,-1.988368,52.424017,On or near The Dell,E01008930,Birmingham 106D,Possession of weapons,Court result unavailable,
d1a01682c5a21038d863e4b9063982757134f4c4a1b1d55b8c53f59620420e5e,2017-02,West Midlands Police,West Midlands Police,-1.982706,52.426201,On or near Fourlands Road,E01009495,Birmingham 106E,Possession of weapons,Court result unavailable,
37d3b68f1397bb3c023050a62fbd5f7e6ddffcd8243f8de242faa489e1bf679c,2017-02,West Midlands Police,West Midlands Police,-1.982706,52.426201,On or near Fourlands Road,E01009495,Birmingham 106E,Possession of weapons,Court result unavailable,
ab2069599a5516683111fdaac74d10daa603bbd4354b3a48c7815578636ded5c,2017-02,West Midlands Police,West Midlands Police,-1.863016,52.415389,On or near School Road,E01008940,Birmingham 115B,Possession of weapons,Court result unavailable,
beb12bd84a8241556069b24b366d84a4bfc02cef9e3c42975e7bcb4cfacd1636,2017-02,West Midlands Police,West Midlands Police,-1.976423,52.404714,On or near Hawkesley Mill Lane,E01009209,Birmingham 124D,Possession of weapons,Offender given community sentence,
c090f7c6394b5790103b7c23ae6a4b27d6ead3723eb245839fdc60830106c550,2017-02,West Midlands Police,West Midlands Police,-1.992357,52.402423,On or near Out Wood Drive,E01009158,Birmingham 129A,Possession of weapons,Court result unavailable,
292ddef44b67df795a03a2c6e3f66d8dee35cb4a0125143671100382ecf09bb0,2017-02,West Midlands Police,West Midlands Police,-1.996781,52.395995,On or near Bristol Road South,E01009165,Birmingham 129C,Possession of weapons,Offender given a caution,
1d687e711830c42240ef12898ac973fa2b7db16b02a60b32b4c4e6a807321b77,2017-02,West Midlands Police,West Midlands Police,-1.996781,52.395995,On or near Bristol Road South,E01009165,Birmingham 129C,Possession of weapons,Offender given a caution,
7f724b0764fac5b6dc7c11f52331f9b568d58d6bd10ab81b33bb6045ef1d051a,2017-02,West Midlands Police,West Midlands Police,-1.961897,52.391521,On or near Forrell Grove,E01009216,Birmingham 131D,Possession of weapons,Investigation complete; no suspect identified,
f696b5a5fb1d6a54d93439f90b2d5c9ad88b0f2976f27cc25f6539e2ea35c994,2017-02,West Midlands Police,West Midlands Police,-1.895758,52.471933,On or near Lower Essex Street,E01033640,Birmingham 134E,Possession of weapons,Offender given suspended prison sentence,
737b6137d94a1bd7c5e977a66cf4cb1e7524ff2d1dcecbc84de8c7342b4d6165,2017-02,West Midlands Police,West Midlands Police,-1.900862,52.467335,On or near Bristol Road,E01033640,Birmingham 134E,Possession of weapons,Investigation complete; no suspect identified,
f5b09b286d18d5f729d44364a4ce7f55164053724bbec327f6c87482e0c5620f,2017-02,West Midlands Police,West Midlands Police,-1.899653,52.474769,On or near Nightclub,E01033615,Birmingham 135C,Possession of weapons,Court result unavailable,
f7e429bcce79bc1a7390a06340165c3eb38fd9f48c58f76d1fc9087813e35747,2017-02,West Midlands Police,West Midlands Police,-1.896047,52.474298,On or near Shopping Area,E01033615,Birmingham 135C,Possession of weapons,Awaiting court outcome,
f4039818eff52f115b7e39b3530973e4863d2e8ed121658570b48b1321031658,2017-02,West Midlands Police,West Midlands Police,-1.896092,52.480169,On or near Shopping Area,E01033620,Birmingham 138A,Possession of weapons,Awaiting court outcome,
837f8a835db5fd80b4c66fd647067b50100ab87b95ef65b74f9f203a2176b375,2017-02,West Midlands Police,West Midlands Police,-1.896319,52.477535,On or near Pedestrian Subway,E01033620,Birmingham 138A,Possession of weapons,Unable to prosecute suspect,
8837af0112ffb76b365fb2d181de514800a74d54250fdb0133de1e3c079e68b7,2017-02,West Midlands Police,West Midlands Police,-1.900586,52.478743,On or near Stephenson Street,E01033620,Birmingham 138A,Possession of weapons,Court result unavailable,
eba775208f640aa307e9ed3d7ab2b6db8345e0c4973a26cd4c058ad0c670a22f,2017-02,West Midlands Police,West Midlands Police,-1.886220,52.477058,On or near Trent Street,E01009200,Birmingham 139A,Possession of weapons,Offender given suspended prison sentence,
9aa2b9d98b357a78f895e54173e3776aef6fdaa58b02c62a40e13f751deab96d,2017-02,West Midlands Police,West Midlands Police,-1.842641,52.464170,On or near Supermarket,E01009335,Birmingham 139G,Possession of weapons,Court result unavailable,
72f95caa14de3968ec6632dbde6e23c47cb9ddb94cc98cc7ef2b498e4b8db241,2017-02,West Midlands Police,West Midlands Police,-1.855082,52.476539,On or near Grove Cottage Road,E01009344,Birmingham 139H,Possession of weapons,Court result unavailable,
2cba49a683f87df3091322015667e28ca495b81028c22b4e42574a0ba0c2ecbd,2017-02,West Midlands Police,West Midlands Police,-1.485538,52.449753,On or near Parking Area,E01032538,Coventry 001H,Possession of weapons,Court result unavailable,
a22a39faf5ed30260d685bc4be7029bd54962aa9c80a7f9d241973607760fc4f,2017-02,West Midlands Police,West Midlands Police,-1.465870,52.438401,On or near Haseley Road,E01009585,Coventry 007E,Possession of weapons,Investigation complete; no suspect identified,
ad2991bead9e02398ed533549ac8a7cf5335aa678c6adfca6ae24d2f94af9cac,2017-02,West Midlands Police,West Midlands Police,-1.483497,52.429202,On or near Sports/Recreation Area,E01009662,Coventry 016D,Possession of weapons,Offender given community sentence,
d9655fc8064f088ca1817d600b5482ffc7ef66f3ff7be7f2518ae4a734f15872,2017-02,West Midlands Police,West Midlands Police,-1.527878,52.411820,On or near Shopping Area,E01009647,Coventry 017C,Possession of weapons,Offender given suspended prison sentence,
5cb07b31b1bf927bed0676dd856a3bf48dabee60157c98c1131ad6a0716ba23d,2017-02,West Midlands Police,West Midlands Police,-1.507216,52.421670,On or near Cash'S Lane,E01009629,Coventry 020A,Possession of weapons,Defendant found not guilty,
8d536df249e8b67c119796718fd85ab4ab8bc43996c1d33b5306d762639bc541,2017-02,West Midlands Police,West Midlands Police,-1.476324,52.413986,On or near Dane Road,E01009660,Coventry 021D,Possession of weapons,Local resolution,
a01e419a31fe420e7c8f810e2d3046a8ffbc867871bc7def65081e43e8d645b4,2017-02,West Midlands Police,West Midlands Police,-1.543277,52.408393,On or near Crosbie Road,E01009687,Coventry 026E,Possession of weapons,Court result unavailable,
dd2028efabea3cf43d1b85a8db83de45e0452def4160a38d89238eabcd447128,2017-02,West Midlands Police,West Midlands Police,-1.584941,52.408052,On or near Aldrich Avenue,E01009700,Coventry 029C,Possession of weapons,Investigation complete; no suspect identified,
4102af8063ed6be695d611dd18e92b05e75ee8750676542f2cf120c371038d7d,2017-02,West Midlands Police,West Midlands Police,-1.580344,52.402947,On or near Pinnock Place,E01009702,Coventry 029E,Possession of weapons,Investigation complete; no suspect identified,
e1c4e0b0b81180b59b066f18b402e5c00eee26b1758706e394193a92c8d8673d,2017-02,West Midlands Police,West Midlands Police,-1.526563,52.402888,On or near Albany Road,E01009553,Coventry 031B,Possession of weapons,Investigation complete; no suspect identified,
fdbf150149696bbf487d31fe7a52766127dd880801bb7b75de36838fb9c942ae,2017-02,West Midlands Police,West Midlands Police,-1.514204,52.410686,On or near Upper Well Street,E01009642,Coventry 031C,Possession of weapons,Unable to prosecute suspect,
1c0be40bfd7e682706dd1a79d2cca9a2708cfd8095f307a363e3b336f06b09e9,2017-02,West Midlands Police,West Midlands Police,-1.508984,52.409406,On or near New Buildings,E01009642,Coventry 031C,Possession of weapons,Court result unavailable,
c64540d1fd7c8a56e57ab086138484cf3dc774361f5b4ba3c20c253fc4cbf383,2017-02,West Midlands Police,West Midlands Police,-1.508984,52.409406,On or near New Buildings,E01009642,Coventry 031C,Possession of weapons,Court result unavailable,
8fee18ef9369c03b587a1e3ff1e410d197ec02178a17027e067d48b849b77dc1,2017-02,West Midlands Police,West Midlands Police,-1.512449,52.408530,On or near Shopping Area,E01009642,Coventry 031C,Possession of weapons,Court result unavailable,
1661acda13b90ba284cc9024129f4c4cf868abed7b9427fa1a3283fd8658b771,2017-02,West Midlands Police,West Midlands Police,-1.519610,52.408335,On or near Pedestrian Subway,E01009651,Coventry 031D,Possession of weapons,Investigation complete; no suspect identified,
ae01fac64263b10c4bc7b28f1f2450416e397df0c88759b519f3d9e92596977b,2017-02,West Midlands Police,West Midlands Police,-1.519610,52.408335,On or near Pedestrian Subway,E01009651,Coventry 031D,Possession of weapons,Court result unavailable,
1dee6dd272f20a2333b6d46a6ec1ad6284205c99ba17cc8259ee19ebbd656303,2017-02,West Midlands Police,West Midlands Police,-1.473145,52.398194,On or near The Bentree,E01009611,Coventry 035E,Possession of weapons,Unable to prosecute suspect,
03964460d2c1f0aa99b34d2bd1b504112160b0c654149832af5b440b6a8c5cbd,2017-02,West Midlands Police,West Midlands Police,-1.510143,52.395045,On or near Benedictine Road,E01009549,Coventry 037B,Possession of weapons,Unable to prosecute suspect,
59ff02354bada966fa8fad6e4e87acb8ce5e528c4e7666f08ce62a63a4886c58,2017-02,West Midlands Police,West Midlands Police,-1.500927,52.387328,On or near Bettman Close,E01032534,Coventry 037F,Possession of weapons,Court result unavailable,
6cc01a992adb20a7f0bd7f2145e86deaa20713e3150ca2768da2445deaa19b7c,2017-02,West Midlands Police,West Midlands Police,-1.465129,52.388970,On or near Kingsmead Mews,E01009540,Coventry 039B,Possession of weapons,Court result unavailable,
